dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P8,parietal,right,2.319762476967855,0.8414647998196615,025_P8
