Channel,Value,Mask
Cz,1.276386796011455,True
Pz,0.7057104270356441,True
Oz,2.4445880733925676,True
Fz,1.3566528201713657,True
C3,0.8637641145220705,True
C4,0.5701749790765613,True
P3,1.4334998167260204,True
P4,1.0789305597839292,True
Cz,0.8396835183074074,True
Pz,1.623971245607033,True
Oz,1.868948377346096,True
Fz,1.231014831742501,True
C3,-0.0038979727565775727,True
C4,0.48691565779071827,True
P3,1.8176184655967562,True
P4,1.135037107029678,True
Cz,0.5478687246609166,True
Pz,1.0251118278893512,True
Oz,0.7527633494769707,True
Fz,0.4153155036545419,True
C3,0.8736289380279714,True
C4,0.5514255482926131,True
P3,1.3832004262517483,True
P4,0.7362330676330833,True
Cz,1.3931517202853545,True
Pz,1.3756209220348259,True
Oz,1.4240924029636168,True
Fz,1.2992758553000165,True
C3,0.5262066429979055,True
C4,0.6628164936811378,True
P3,1.272573265518706,True
P4,1.1481057275024413,True
Cz,1.157289088985045,True
Pz,1.6644574160107057,True
Oz,2.350608410116221,True
Fz,1.4693208498460282,True
C3,1.1007406375971658,True
C4,1.2114697617232333,True
P3,1.5521341577451413,True
P4,1.976909362841649,True
Cz,1.515321745839555,True
Pz,1.9361488734521888,True
Oz,2.5957396948228877,True
Fz,2.005230006709443,True
C3,1.5988690938474162,True
C4,1.736928986175972,True
P3,1.9620432158215104,True
P4,1.9979031849261213,True
Cz,1.5081798717573405,True
Pz,1.671593143567204,True
Oz,1.825135798069671,True
Fz,2.340001754929907,True
C3,1.1019173143243126,True
C4,1.6320926324025524,True
P3,1.7970917436772293,True
P4,1.9196535620453516,True
Cz,0.610166659451541,True
Pz,0.6028743291101195,True
Oz,0.9998234158025672,True
Fz,0.06260290781132533,False
C3,-0.17367718890508876,False
C4,0.028602670045057035,True
P3,0.252050226830819,False
P4,0.22798074619976227,False
Cz,0.21437119958249656,True
Pz,0.4958378278714642,True
Oz,0.7988748240088513,True
Fz,0.26073970202301594,True
C3,-0.06003726722598187,True
C4,0.11298166347572487,True
P3,0.6921468132324303,True
P4,0.042901327241817326,False
Cz,0.5775089787720696,True
Pz,0.6994327409484987,True
Oz,0.7951628344265794,True
Fz,0.21946994455002117,False
C3,-0.35099856619333764,False
C4,-0.13985961873112962,False
P3,0.516833076900507,False
P4,0.43518462213910386,True
Cz,0.31938352301540246,True
Pz,0.2797616350751708,True
Oz,0.32445687122910166,False
Fz,-0.28073210595893483,False
C3,-0.24420932531046086,False
C4,-0.3664423788693926,False
P3,0.24011920538225381,False
P4,-0.22163230322862265,False
Cz,1.4741095375990385,True
Pz,2.5491993545152747,True
Oz,1.8130429363833538,True
Fz,1.2983591696055932,True
C3,1.3921457088321652,True
C4,1.711684218932178,True
P3,2.292626048126021,True
P4,1.3452835450269207,True
Cz,1.1865918013729835,True
Pz,1.327009952627105,True
Oz,1.2830930140042325,True
Fz,0.95257975012612,True
C3,0.9839692580351199,True
C4,1.346760861206471,True
P3,1.2840898802299872,True
P4,1.2189174143609618,True
Cz,0.834424869619304,True
Pz,1.660856206585588,True
Oz,1.7976434852653436,True
Fz,1.376351625310072,True
C3,1.0938135895461831,True
C4,0.9555074227710184,True
P3,1.6800584886362964,True
P4,2.04926251434152,True
Cz,1.1832888054039532,True
