dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,O2,occipital,right,3.366757007160214,1.2139499686290485,025_O2
