dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,Cz,central,central,1.72956291216647,0.5478687246609166,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Cz,central,central,1.8407381496299113,0.610166659451541,025_Cz
