dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT7,frontocentral,left,0.8043450857701194,-0.21772689073106605,025_FT7
